id,chemical_formula,DOI,REFCODE,model_pred
TANBOZ_clean.cif,Cu8C12N12,10.1016/S0020-1693(00)81684-9,TANBOZ,1.4919475
QERZUI_clean.cif,Cu2H16C24N4O8,10.1021/cg005519l,QERZUI,2.2430198
HEDGUS_clean.cif,Cu4H16C32N12O16,10.1002/(SICI)1521-3773(19990115)38:1/2<140::AID-ANIE140>3.0.CO;2-9,HEDGUS,2.2175493
QIGBIR_clean.cif,Mn8Re24C24S32N24,10.1039/b008040n,QIGBIR,1.4792688
TOFTIT_clean.cif,Cu24H128C288N80O112,10.1016/j.inoche.2014.04.027,TOFTIT,2.2275796
BEXSII_clean.cif,Cu6H32C60N4O28,10.1039/C3CE27023H,BEXSII,2.16455
FATLUJ_clean.cif,Cu4H52C56N10O20,10.1021/cg201594p,FATLUJ,2.4133937
UZUNAF_clean.cif,Cu4H44C44N8O16,10.1021/cg2004672,UZUNAF,2.3784342
UHUPET_clean.cif,Zn32C622O152,10.1126/science.1175441,UHUPET,2.112378
EZOBUR_clean.cif,Cu12H148C208N24O48F108,10.1021/ic200362c,EZOBUR,2.959289
ICAGOK_clean.cif,Cu8H96C144N24O24,10.1021/ic2008842,ICAGOK,2.2601793
YOCLIN_clean.cif,Cu12H24C72O48,10.1039/c3nr04161a,YOCLIN,1.836939
cg901128k_si_004_clean.cif,Cu10H30C30N60,10.1021/cg901128k,cg901128k_si_004,2.3117871
NIJSAC_clean.cif,Cu4H52C64N28O32,10.1039/C3CC45310C,NIJSAC,2.5120447
MURCAD_clean.cif,Cu4H28C32N8O16,10.1021/ic0258577,MURCAD,2.3077617
XAMDUM03_clean.cif,Cu12H24C72O48,10.1039/c1cc16045a,XAMDUM03,1.836939
SODQOT_clean.cif,Cu8H16C36O28,10.1039/C4CE00408F,SODQOT,1.793468
WEMDUP_clean.cif,Eu4C16O32,10.1039/c3ce26684b,WEMDUP,4.47805
BAHGUN04_clean.cif,Cu2H16C24N4O8,10.1016/S0020-1693(03)00215-9,BAHGUN04,2.2430198
CELKEL_clean.cif,Cu8H112C128N16O48,10.1016/j.jssc.2009.11.003,CELKEL,2.4159026
AHOKIR01_clean.cif,Cu2P2H8C4O6,10.1016/S0277-5387(03)00372-3,AHOKIR01,1.7601876
ACUFEK_clean.cif,Cu24H192C384N48O96,10.1021/ja058777l,ACUFEK,2.1838086
OGIKAR_clean.cif,Cu24H232C424N56O96,10.1039/b903932e,OGIKAR,2.2194095
RIBTAZ_clean.cif,Cu16H52C104N24O48,10.1039/C3CE40599K,RIBTAZ,2.0597317
DEJCIF_clean.cif,Cu4H12C28N4O16,10.1021/cg060087l,DEJCIF,2.0775828
VIXPUP01_clean.cif,Cu24H96C216N24O120,10.1002/chem.201304005,VIXPUP01,2.144764
DOKHOB_clean.cif,Cu6H68C88N8O24,10.1039/b808373h,DOKHOB,2.2935839
EDAVOV_clean.cif,Cu6H42C54N6O18,10.1016/j.ica.2007.02.019,EDAVOV,2.190923
PUJQEQ_clean.cif,Cu8H192C192N32,10.1039/A708943K,PUJQEQ,2.3662744
BAHGUN03_clean.cif,Cu2H16C24N4O8,10.1016/S0020-1693(03)00215-9,BAHGUN03,2.2430198
CITXUZ_clean.cif,Cu8H60C84N12O32,10.1039/b712905j,CITXUZ,2.2390592
KILJEV_clean.cif,Cu4P4H16C20N4O12,10.1021/ic070132u,KILJEV,2.089019
EFOTEZ_clean.cif,Mn8Re24C24Se32N24,-,EFOTEZ,1.4144604
UFUQIV_clean.cif,Cu8H128C160N32,10.1039/b202588d,UFUQIV,2.2558653
GIFFEI_clean.cif,Eu8C32N24O32,10.1002/zaac.201200234,GIFFEI,4.339328
IXAKAU_clean.cif,Cu8H56C104N8O32,10.1021/ic102188v,IXAKAU,2.166544
PELRIJ_clean.cif,Cu24H288C480N48O144,10.1039/c2ce26015h,PELRIJ,2.304658
JOFKIA_clean.cif,Cu6H12C18N24O12,10.1039/C3CE42087F,JOFKIA,2.21102
TUBJAD_clean.cif,Cu4H56C80N12O20,10.1016/j.ica.2014.12.001,TUBJAD,2.348398
